Distance T,Temperature (Celsius),Distance CH4,CH4,Distance O2,O2,Distance H2,H2,Distance CO,CO,Distance H2O,H2O,Distance CO2,CO2
-4.842,109.453,-4.967,0.063,-4.891,0.031,-4.867,0,-4.911,0,-4.852,0,-4.808,0
-4.628,111.94,-4.778,0.063,-4.653,0.03,-4.578,0,-4.622,0,-4.601,0,-4.539,0
-4.402,114.428,-4.577,0.063,-4.452,0.031,-4.267,0,-4.356,0,-4.367,-0.001,-4.317,-0.001
-4.176,121.891,-4.351,0.064,-4.251,0.031,-3.956,0,-4,0,-4.134,0,-4.032,0
-3.975,121.891,-4.201,0.063,-4.075,0.031,-3.689,0,-3.6,0,-3.8,0,-3.746,0
-3.799,126.866,-4.025,0.063,-3.9,0.031,-3.378,0,-3.378,0,-3.499,-0.001,-3.461,-0.001
-3.598,131.841,-3.824,0.063,-3.699,0.032,-3.111,0,-3.156,0,-3.232,0,-3.176,0
-3.397,136.816,-3.674,0.063,-3.498,0.032,-2.844,0,-2.889,0,-2.965,0,-2.891,0
-3.221,144.279,-3.473,0.063,-3.272,0.032,-2.533,0,-2.622,0,-2.664,0,-2.606,0
-3.02,151.741,-3.297,0.063,-3.046,0.031,-2.222,0,-2.311,0,-2.397,0,-2.32,0
-2.844,159.204,-3.146,0.063,-2.82,0.032,-1.911,0,-2.044,0,-2.096,0,-2.067,0
-2.668,166.667,-3.021,0.063,-2.619,0.032,-1.6,0,-1.689,0,-1.929,0,-1.782,0
-2.466,169.154,-2.82,0.063,-2.393,0.031,-1.333,0,-1.422,0,-1.696,0,-1.465,-0.001
-2.291,179.104,-2.594,0.063,-2.167,0.031,-1.022,0,-1.111,0,-1.362,0,-1.148,-0.001
-2.14,184.08,-2.444,0.063,-1.941,0.031,-0.667,0,-0.844,0,-1.028,-0.001,-0.831,-0.001
-1.939,191.542,-2.268,0.064,-1.766,0.031,-0.356,0,-0.578,0,-0.761,-0.001,-0.577,-0.001
-1.763,201.493,-2.042,0.063,-1.565,0.031,-0.089,0.001,-0.267,0,-0.494,-0.001,-0.292,-0.001
-1.587,211.443,-1.866,0.063,-1.364,0.031,0.133,0.002,0,0.001,-0.193,-0.001,-0.039,0
-1.436,221.393,-1.615,0.063,-1.163,0.031,0.311,0.006,0.178,0.005,0.074,0.001,0.215,0.001
-1.285,231.343,-1.439,0.063,-0.962,0.032,0.4,0.01,0.311,0.008,0.208,0.003,0.468,0.002
-1.159,243.781,-1.238,0.064,-0.736,0.032,0.489,0.013,0.444,0.012,0.275,0.006,0.754,0.002
-1.034,253.731,-1.038,0.064,-0.536,0.033,0.578,0.018,0.533,0.016,0.341,0.009,0.975,0.003
-0.883,263.682,-0.837,0.064,-0.36,0.032,0.667,0.022,0.667,0.019,0.408,0.012,1.229,0.003
-0.757,278.607,-0.661,0.064,-0.134,0.032,0.756,0.024,0.889,0.024,0.475,0.015,1.451,0.003
-0.606,291.045,-0.485,0.064,0.017,0.031,0.889,0.028,1.111,0.027,0.542,0.018,1.704,0.002
-0.455,305.97,-0.31,0.063,0.117,0.029,0.978,0.032,1.289,0.03,0.642,0.021,1.926,0.002
-0.33,320.896,-0.109,0.063,0.167,0.027,1.111,0.036,1.511,0.033,0.776,0.023,2.116,0.003
-0.204,338.308,0.042,0.062,0.218,0.025,1.244,0.041,1.778,0.035,0.976,0.025,2.37,0.002
-0.078,355.721,0.167,0.061,0.268,0.023,1.422,0.044,2.089,0.037,1.21,0.025,2.592,0.002
0.047,375.622,0.243,0.059,0.318,0.021,1.644,0.047,2.4,0.038,1.477,0.025,2.813,0.002
