Distance T,Temperature (Celsius),Distance CH4,CH4,Distance O2,O2,Distance H2,H2,Distance CO,CO,Distance H2O,H2O,Distance CO2,CO2
0.123,398.01,0.293,0.057,0.368,0.019,1.867,0.05,2.667,0.039,1.744,0.026,3.035,0.002
0.223,415.423,0.343,0.055,0.418,0.016,2.044,0.053,2.978,0.038,1.944,0.025,3.257,0.002
0.299,437.811,0.393,0.052,0.469,0.014,2.178,0.057,3.244,0.037,2.145,0.023,3.479,0.002
0.374,457.711,0.444,0.05,0.519,0.011,2.4,0.06,3.511,0.036,2.378,0.022,3.701,0.003
0.475,480.1,0.494,0.048,0.619,0.009,2.667,0.064,3.822,0.037,2.612,0.02,3.923,0.003
0.525,500,0.519,0.048,0.72,0.007,2.933,0.065,4.089,0.036,2.846,0.018,4.208,0.002
0.601,517.413,0.569,0.045,0.87,0.005,3.2,0.066,4.311,0.039,3.08,0.018,4.43,0.002
0.651,539.801,0.619,0.043,0.996,0.003,3.467,0.067,4.578,0.04,3.28,0.016,4.683,0.002
0.726,559.701,0.72,0.042,1.121,0.002,3.733,0.069,4.889,0.041,3.514,0.015,5,0.002
0.802,582.09,0.795,0.039,1.322,0,4,0.071,5.156,0.042,3.748,0.013,5.254,0.002
0.877,601.99,0.921,0.038,1.523,0,4.267,0.075,5.422,0.043,3.981,0.012,5.475,0.002
0.927,624.378,1.021,0.035,1.699,0,4.444,0.078,5.733,0.044,4.215,0.01,5.729,0.002
1.003,644.279,1.121,0.033,1.925,0,4.711,0.081,6.044,0.044,4.449,0.009,5.951,0.003
1.078,666.667,1.197,0.031,2.201,0,4.978,0.083,6.356,0.045,4.683,0.009,6.204,0.002
1.128,689.055,1.347,0.03,2.402,0,5.289,0.084,6.711,0.044,4.983,0.009,6.521,0.002
1.229,711.443,1.498,0.028,2.628,0,5.6,0.087,7.022,0.045,5.25,0.009,6.743,0.002
1.304,731.343,1.649,0.027,2.854,0,5.911,0.088,7.333,0.044,5.484,0.008,6.996,0.002
1.43,753.731,1.799,0.025,3.105,0,6.267,0.089,7.644,0.044,5.718,0.008,7.282,0.002
1.506,776.119,1.975,0.024,3.305,0,6.578,0.089,7.911,0.045,5.985,0.008,7.567,0.002
1.631,793.532,2.126,0.023,3.531,0,6.889,0.089,8.222,0.044,6.252,0.009,7.789,0.002
1.757,810.945,2.301,0.022,3.757,0,7.2,0.089,8.578,0.044,6.453,0.009,8.011,0.003
1.858,828.358,2.477,0.021,3.983,0,7.511,0.09,8.933,0.045,6.72,0.008,8.264,0.002
2.008,845.771,2.678,0.022,4.159,0,7.822,0.09,9.333,0.044,6.92,0.008,8.454,0.002
2.184,855.721,2.879,0.022,4.385,0,8.089,0.09,9.689,0.045,7.154,0.008,8.644,0.002
2.335,868.159,3.054,0.022,4.586,0,8.356,0.091,9.956,0.044,7.388,0.008,8.898,0.002
2.536,880.597,3.23,0.023,4.787,0,8.667,0.091,10.311,0.045,7.655,0.008,9.088,0.002
2.737,888.06,3.456,0.023,4.987,0,8.978,0.092,10.578,0.044,7.889,0.007,9.342,0.003
2.888,890.547,3.657,0.023,5.213,0,9.289,0.092,10.889,0.045,8.122,0.007,9.595,0.002
3.064,893.035,3.858,0.023,5.439,0,9.556,0.092,11.156,0.045,8.39,0.006,9.817,0.002
3.265,898.01,4.033,0.022,5.69,0,9.867,0.093,11.467,0.045,8.623,0.007,10.039,0.002
3.441,898.01,4.209,0.022,5.967,0,10.222,0.093,11.778,0.045,8.957,0.006,10.229,0.002
3.592,895.522,4.36,0.022,6.167,0,10.533,0.093,12.089,0.046,9.191,0.007,10.419,0.002
3.768,895.522,4.51,0.021,6.418,0,10.889,0.094,12.311,0.046,9.458,0.007,10.704,0.002
3.944,890.547,4.686,0.02,6.594,0,11.2,0.094,12.578,0.045,9.625,0.006,10.958,0.002
4.12,890.547,4.862,0.019,6.82,0,11.511,0.094,12.889,0.045,9.892,0.006,11.243,0.002
4.246,883.085,5.038,0.018,7.021,0,11.911,0.093,13.2,0.046,10.16,0.006,11.496,0.002
4.397,880.597,5.213,0.017,7.247,-0.001,12.267,0.093,13.467,0.046,10.427,0.007,11.718,0.002
4.547,875.622,5.414,0.017,7.448,0,12.622,0.093,13.733,0.045,10.727,0.006,11.94,0.002
4.698,870.647,5.615,0.017,7.649,0,13.022,0.093,14,0.044,10.994,0.006,12.257,0.003
4.849,865.672,5.791,0.016,7.874,0,13.289,0.094,14.267,0.046,11.295,0.007,12.511,0.002
5.025,863.184,5.992,0.016,8.075,0,13.556,0.094,14.578,0.045,11.562,0.007,12.764,0.002
5.176,858.209,6.218,0.015,8.276,0,13.867,0.093,14.911,0.046,11.796,0.007,13.018,0.002
5.327,853.234,6.418,0.015,8.477,0,14.222,0.093,,,12.03,0.007,13.239,0.002
5.478,850.746,6.619,0.015,8.753,0,14.533,0.094,,,12.263,0.006,13.43,0.002
5.628,845.771,6.845,0.015,8.954,0,14.867,0.094,,,12.531,0.007,13.62,0.002
5.804,840.796,7.046,0.015,9.155,0,,,,,12.798,0.007,13.857,0.002
5.955,835.821,7.272,0.015,9.356,0,,,,,13.065,0.007,14.85,0.002
6.106,833.333,7.448,0.015,9.582,0,,,,,13.365,0.006,,
6.232,828.358,7.623,0.015,9.757,0,,,,,13.699,0.007,,
6.383,828.358,7.774,0.015,9.983,0,,,,,13.933,0.007,,
6.534,823.383,7.975,0.015,10.159,0,,,,,14.2,0.007,,
6.684,820.896,8.176,0.015,10.385,0,,,,,14.468,0.007,,
6.835,815.92,8.326,0.016,10.611,0,,,,,14.701,0.007,,
6.986,813.433,8.552,0.016,10.812,0,,,,,14.885,0.006,,
7.137,810.945,8.728,0.015,11.038,0,,,,,,,,
7.288,805.97,8.904,0.015,11.238,0,,,,,,,,
7.439,805.97,9.105,0.015,11.414,0,,,,,,,,
7.589,800.995,9.28,0.015,11.615,0,,,,,,,,
7.74,798.507,9.481,0.015,11.791,0,,,,,,,,
7.891,796.02,9.682,0.015,11.992,0,,,,,,,,
8.042,793.532,9.883,0.015,12.167,0,,,,,,,,
8.218,791.045,10.059,0.015,12.368,0,,,,,,,,
8.369,788.557,10.234,0.015,12.544,0,,,,,,,,
8.52,786.07,10.435,0.015,12.77,0,,,,,,,,
8.696,786.07,10.636,0.014,12.946,0,,,,,,,,
8.821,783.582,10.837,0.014,13.146,0,,,,,,,,
8.997,781.095,11.013,0.014,13.297,0,,,,,,,,
9.148,778.607,11.163,0.014,13.548,0,,,,,,,,
9.324,778.607,11.364,0.014,13.749,0,,,,,,,,
9.5,776.119,11.565,0.014,14,0,,,,,,,,
9.651,776.119,11.766,0.014,14.226,0,,,,,,,,
9.802,776.119,11.967,0.014,14.427,0,,,,,,,,
9.953,771.144,12.167,0.014,14.628,0,,,,,,,,
10.128,771.144,12.368,0.014,14.891,0,,,,,,,,
10.304,766.169,12.594,0.014,,,,,,,,,,
10.455,766.169,12.795,0.014,,,,,,,,,,
10.631,766.169,12.996,0.014,,,,,,,,,,
10.782,766.169,13.197,0.014,,,,,,,,,,
10.958,766.169,13.397,0.014,,,,,,,,,,
11.134,763.682,13.623,0.014,,,,,,,,,,
11.31,761.194,13.849,0.014,,,,,,,,,,
11.486,761.194,14.025,0.014,,,,,,,,,,
11.662,761.194,14.201,0.014,,,,,,,,,,
11.813,758.706,14.402,0.014,,,,,,,,,,
11.989,758.706,14.628,0.014,,,,,,,,,,
12.14,758.706,14.866,0.014,,,,,,,,,,
12.316,758.706,,,,,,,,,,,,
12.492,756.219,,,,,,,,,,,,
12.642,756.219,,,,,,,,,,,,
12.818,756.219,,,,,,,,,,,,
12.944,753.731,,,,,,,,,,,,
13.12,753.731,,,,,,,,,,,,
13.271,751.244,,,,,,,,,,,,
13.422,751.244,,,,,,,,,,,,
13.573,751.244,,,,,,,,,,,,
13.723,751.244,,,,,,,,,,,,
13.899,751.244,,,,,,,,,,,,
14.101,751.244,,,,,,,,,,,,
14.277,748.756,,,,,,,,,,,,
14.427,748.756,,,,,,,,,,,,
14.603,748.756,,,,,,,,,,,,
14.754,753.731,,,,,,,,,,,,
14.892,751.244,,,,,,,,,,,,
