Distance (mm),Temperature (K),O2 (mol/min),CH4 (mol/min),H2 (mol/min),CO (mol/min),CO2 (mol/min),H2O (mol/min)
6.0,395.83392377398684,0.031067803837953073,0.06299999999999996,0.0,0.0,3.78947368421054e-05,5.1257712387280616e-05
6.19,399.32186020788885,0.03147462686567162,0.06299999999999996,0.0,0.0,-7.518796992481235e-05,-0.0001414674466598766
6.38,404.19566533162083,0.03190851180255484,0.06299999999999996,0.0,0.0,-0.0005010526315789469,-0.0005421457634530156
6.57,409.65506437536317,0.03208298582938655,0.06299999999999996,0.0,0.0,-0.0006614536340852123,-0.0005754963391157338
6.76,416.26709645522357,0.031609608091024,0.06299999999999996,0.0,0.0,-0.00037674185463659055,-0.0002175491361948478
6.95,423.9187408267103,0.03141365360303411,0.06299999999999996,0.0,0.0,-6.015037593985517e-07,5.329052969502395e-05
7.140000000000001,432.1237973747932,0.031642098609355226,0.06299999999999996,0.0,0.0,1.9248120300751917e-05,2.568218298555379e-06
7.33,438.0840219031011,0.03189835651074587,0.06292499999999995,0.0,0.0,0.0,0.0
7.52,444.2655992123107,0.03145929203539821,0.06327800252844497,0.0,0.0,0.0,0.0
7.71,450.881313645735,0.031046270543615657,0.06351298988621992,0.0,0.0,0.0,0.0
7.9,458.97031608613565,0.030967003792667487,0.06342465233881159,0.0,0.0,1.676430824695842e-05,0.0
8.09,466.7199331038374,0.03099999999999998,0.06301298988621992,0.0,0.0,1.0815682739963534e-06,0.0
8.280000000000001,476.79066787787394,0.03099999999999998,0.06293578504443643,0.0,0.0,-0.0002818386660657974,5.645851154833266e-06
8.47,488.1516768274272,0.030994456289978656,0.0630831556503198,0.0,0.0,-0.0007103199639477258,3.182207014542325e-05
8.66,501.7209014651239,0.030936460554370982,0.06349637526652446,0.0,0.0,-0.0009986480396575032,-0.00016390076988879394
8.85,516.4521509690494,0.031288557213930326,0.06391172707889121,0.0,0.0,-0.0010175754844524553,-0.0005880239520958082
9.04,532.8958050168937,0.03169817484008526,0.06404349680170571,0.0,0.0,-0.0009999999999999992,-0.0009548331907613339
9.23,549.210698928143,0.03233298875751113,0.06404653061224486,0.0,0.0,-0.0009999999999999992,-0.0010313088109495288
9.42,567.1108882555296,0.03243729870129868,0.06389959183673466,-5.008025682183022e-05,-2.1508828250401418e-05,-0.0010311688311688307,-0.0009999999999999992
9.61,587.2157424360765,0.0324206086694762,0.06353538045681845,8.410481107110379e-05,3.531300160513812e-06,-0.0009708252377543705,-0.001117495987158908
9.8,610.8450464975563,0.03218230176212566,0.06304698515446606,0.00048669472040258706,1.946117299669929e-05,-0.0006009919214643613,-0.0008370522986991197
9.99,641.1989237659859,0.030822020697261428,0.06266393179732677,0.0011651396179486076,0.0014455021985139299,8.037409355451101e-05,-7.448791356221398e-05
10.18,680.9392537953449,0.026414257962787735,0.05983590459592685,0.003409327144158613,0.004686984867117352,0.0008939551034381574,0.0034087728612156075
10.370000000000001,728.9941121884708,0.018504740831431873,0.05349718926455203,0.00891299726692988,0.010298992848658014,0.0015833987648777113,0.010274043458470121
10.56,782.0135257593981,0.01107664985994395,0.04600218045112775,0.016541894060995196,0.016022825114419784,0.001892579360144859,0.01795540298507465
10.75,839.6151930469737,0.006247294953802405,0.040880300751879636,0.023913735381793193,0.02111483709899581,0.002236045795636589,0.022761927505330487
10.940000000000001,902.3190075471559,0.003932479507225771,0.03691165413533832,0.03040316441183214,0.024483461591008115,0.002665934065934068,0.024560093816631125
11.129999999999999,959.8570212442329,0.0017023738450604056,0.033203774137330055,0.036795891098619804,0.02754781571298423,0.003051404350125578,0.025070668359646383
11.32,1009.7987353398278,0.00033134328358209,0.030000407210078163,0.0419280138731455,0.030385354214567672,0.003017978951994295,0.025001643659711057
11.51,1047.030734432437,-0.00015692963752665762,0.028026019122912617,0.04535185750883379,0.03284756044230735,0.0026350084697910805,0.02532324558587478
11.7,1079.0087567015453,-1.7057569296365912e-06,0.026166511567902288,0.04770539525810365,0.03449900620196149,0.0021153936223959127,0.025656609983788898
11.89,1103.4843873373477,0.0,0.024611795383897073,0.05052187721369209,0.03576666180303953,0.0021838440425860023,0.025160352042376977
12.08,1123.1200411554387,0.0,0.02325286297288329,0.0541973949382128,0.03684919252863179,0.002527312171062869,0.023811262936008968
12.27,1136.7443425696383,0.0,0.022022719869456836,0.057926049365586346,0.03762646359024115,0.0024691208335800136,0.022468432140575225
12.46,1148.664894209437,0.0,0.02146234887612703,0.06122767513152792,0.038339501323850445,0.0020655094428985847,0.021218746322468035
12.65,1157.8309707035469,0.0,0.021607414375248046,0.06341262350705618,0.03873655647171997,0.0019662542182227205,0.019579805792681315
12.84,1162.752795164882,0.0,0.02194882971506104,0.06478395466998149,0.03852824756455866,0.0019999999999999983,0.018436483516483505
13.030000000000001,1166.4281839123803,0.0,0.022249602636169784,0.06537954034363594,0.03780400963182755,0.0019999999999999983,0.017613040293040283
13.219999999999999,1169.6692105929446,0.0,0.02271525974025972,0.06603200094940397,0.037043931004473576,0.0019532818532818517,0.01675956043956043
13.41,1170.6592817842595,0.0,0.02306623376623375,0.06685425361155695,0.03642407570903225,0.002101158301158299,0.01544216615049232
13.6,1169.6204547974403,0.0,0.02306462523191093,0.06799390048154089,0.036447833003720814,0.002539021879021877,0.01416747546206773
13.79,1167.1312130952374,0.0,0.022846693877551005,0.06929887640449434,0.036547575674852645,0.002935444015444012,0.013019412347309339
13.98,1164.548435414695,0.0,0.02240424489795917,0.07104027894913435,0.036583754304437825,0.002730424710424708,0.01175969595497492
14.17,1159.9709705114046,0.0,0.022123317254174383,0.0735302699712526,0.03735235771763461,0.0022533333333333316,0.010505566822305011
14.36,1154.8183091138435,0.0,0.021750988868274566,0.07652709415893566,0.03883454680829583,0.001977142857142856,0.009401952029849019
14.55,1148.3841023508492,0.0,0.020903246753246736,0.07917735397339278,0.03999788061636753,0.0019885714285714272,0.009011721611721606
14.74,1142.70126180442,0.0,0.019680747680890526,0.08121633781445944,0.040522671648955094,0.0019999999999999983,0.00896739926739926
14.93,1137.744672907886,0.0,0.018565970315398875,0.08259407802717889,0.04116631651023217,0.0019999999999999983,0.009021978021978017
15.120000000000001,1132.6623581147321,0.0,0.017580525046382176,0.08340344355958355,0.04186236621938891,0.0019999999999999983,0.00899780219780219
15.31,1127.7130826545963,0.0,0.017080418367346927,0.08444450718182422,0.04257679688219426,0.0019999999999999983,0.00861831501831501
15.5,1122.5497142312424,0.0,0.016894059369202213,0.0858981166743224,0.04328446755459403,0.00194169884169884,0.008169230769230762
15.69,1117.2886587791338,0.0,0.01656545942995057,0.08723429443673122,0.043790637768053545,0.002187806553023944,0.00790897641684158
15.88,1111.755050150511,0.0,0.01607842202045741,0.08794544471569467,0.043986042896010706,0.0025119655510959862,0.008023434991974315
16.07,1106.4653758256636,0.0,0.01552603292724973,0.0884940695111817,0.04422667189052358,0.0024904604208952036,0.008411771000535043
16.259999999999998,1102.3858269517493,0.0,0.015138811630847019,0.08889498046481856,0.044599764742299916,0.002123291162421596,0.008912038523274473
16.45,1098.7022509441808,0.0,0.01494386852085966,0.08904069020866767,0.0446230963968326,0.0019546019198193095,0.008904012841091484
16.64,1094.6004368666026,0.0,0.014999999999999989,0.08900168539325837,0.04433590127457793,0.0019999999999999983,0.00840267522739432
16.83,1089.8171287114467,7.168141592920397e-05,0.014999999999999989,0.08899724391364255,0.0444981578215272,0.0019999999999999983,0.008017014446227922
17.02,1085.4798990425725,-0.0002662565805611642,0.014999999999999989,0.08895590261828198,0.0447322370234267,0.0019999999999999983,0.00797431781701444
17.21,1082.29575231788,-0.0004880710228880926,0.014999999999999989,0.08915039044556725,0.04449995406522734,0.0019999999999999983,0.007999999999999993
17.4,1078.3942213812668,-0.00040271713493217115,0.014999999999999989,0.08958052365640784,0.04400677666926444,0.0019999999999999983,0.00804578754578754
